,miles por galon,MOTOR,"fuerza,caballos","peso,kg","modelo,año",acceleracion,pais,numero de cilindros,,
96,18,225,105,3121,73,17,1,6,,
97,16,250,100,3278,73,18,1,6,,
98,18,232,100,2945,73,16,1,6,,
99,18,250,88,3021,73,17,1,6,,
100,23,198,95,2904,73,16,1,6,,
101,26,97,46,1950,73,21,2,4,,
102,11,400,150,4997,73,14,1,8,,
103,12,400,167,4906,73,13,1,8,,
104,13,360,170,4654,73,13,1,8,,
105,12,350,180,4499,73,13,1,8,,
106,18,232,100,2789,73,15,1,6,,
107,20,97,88,2279,73,19,3,4,,
108,21,140,72,2401,73,20,1,4,,
109,22,108,94,2379,73,17,3,4,,
110,18,70,90,2124,73,14,3,3,,
111,19,122,85,2310,73,19,1,4,,
112,21,155,107,2472,73,14,1,6,,
113,26,98,90,2265,73,16,2,4,,
114,15,350,145,4082,73,13,1,8,,
115,16,400,230,4278,73,10,1,8,,
116,29,68,49,1867,73,20,2,4,,
117,24,116,75,2158,73,16,2,4,,
118,20,114,91,2582,73,14,2,4,,
119,19,121,112,2868,73,16,2,4,,
120,15,318,150,3399,73,11,1,8,,
121,24,121,110,2660,73,14,2,4,,
122,20,156,122,2807,73,14,3,6,,
123,11,350,180,3664,73,11,1,8,,
124,20,198,95,3102,74,17,1,6,,
125,19,232,100,2901,74,16,1,6,,
126,15,250,100,3336,74,17,1,6,,
127,31,79,67,1950,74,19,3,4,,
128,26,122,80,2451,74,17,1,4,,
129,32,71,65,1836,74,21,3,4,,
130,25,140,75,2542,74,17,1,4,,
131,16,250,100,3781,74,17,1,6,,
132,16,258,110,3632,74,18,1,6,,
133,18,225,105,3613,74,17,1,6,,
134,16,302,140,4141,74,14,1,8,,
135,13,350,150,4699,74,15,1,8,,
136,14,318,150,4457,74,14,1,8,,
137,14,302,140,4638,74,16,1,8,,
138,14,304,150,4257,74,16,1,8,,
139,29,98,83,2219,74,17,2,4,,
140,26,79,67,1963,74,16,2,4,,
141,26,97,78,2300,74,15,2,4,,
142,31,76,52,1649,74,17,3,4,,
143,32,83,61,2003,74,19,3,4,,
144,28,90,75,2125,74,15,1,4,,
145,24,90,75,2108,74,16,2,4,,
146,26,116,75,2246,74,14,2,4,,
147,24,120,97,2489,74,15,3,4,,
148,26,108,93,2391,74,16,3,4,,
149,31,79,67,2000,74,16,2,4,,
150,19,225,95,3264,75,16,1,6,,
151,18,250,105,3459,75,16,1,6,,
152,15,250,72,3432,75,21,1,6,,
153,15,250,72,3158,75,20,1,6,,
154,16,400,170,4668,75,12,1,8,,
155,15,350,145,4440,75,14,1,8,,
156,16,318,150,4498,75,15,1,8,,
157,14,351,148,4657,75,14,1,8,,
158,17,231,110,3907,75,21,1,6,,
159,16,250,105,3897,75,19,1,6,,
160,15,258,110,3730,75,19,1,6,,
161,18,225,95,3785,75,19,1,6,,
162,21,231,110,3039,75,15,1,6,,
163,20,262,110,3221,75,14,1,8,,
164,13,302,129,3169,75,12,1,8,,
165,29,97,75,2171,75,16,3,4,,
166,23,140,83,2639,75,17,1,4,,
167,20,232,100,2914,75,16,1,6,,
168,23,140,78,2592,75,19,1,4,,
169,24,134,96,2702,75,14,3,4,,
170,25,90,71,2223,75,17,2,4,,
171,24,119,97,2545,75,17,3,4,,
172,18,171,97,2984,75,15,1,6,,
173,29,90,70,1937,75,14,2,4,,
174,19,232,90,3211,75,17,1,6,,
175,23,115,95,2694,75,15,2,4,,
176,23,120,88,2957,75,17,2,4,,
177,22,121,98,2945,75,15,2,4,,
178,25,121,115,2671,75,14,2,4,,
179,33,91,53,1795,75,18,3,4,,
180,28,107,86,2464,76,16,2,4,,
181,25,116,81,2220,76,17,2,4,,
182,25,140,92,2572,76,15,1,4,,
183,26,98,79,2255,76,18,1,4,,
184,27,101,83,2202,76,15,2,4,,
185,18,305,140,4215,76,13,1,8,,
186,16,318,150,4190,76,13,1,8,,
187,16,304,120,3962,76,14,1,8,,
188,15,351,152,4215,76,13,1,8,,
189,22,225,100,3233,76,15,1,6,,
190,22,250,105,3353,76,15,1,6,,
191,24,200,81,3012,76,18,1,6,,
192,23,232,90,3085,76,18,1,6,,
193,29,85,52,2035,76,22,1,4,,
194,25,98,60,2164,76,22,1,4,,
195,29,90,70,1937,76,14,2,4,,
196,33,91,53,1795,76,17,3,4,,
197,20,225,100,3651,76,18,1,6,,
198,18,250,78,3574,76,21,1,6,,
199,19,250,110,3645,76,16,1,6,,
200,18,258,95,3193,76,18,1,6,,
201,30,97,71,1825,76,12,2,4,,
202,32,85,70,1990,76,17,3,4,,
203,28,97,75,2155,76,16,3,4,,
204,27,140,72,2565,76,14,1,4,,
205,20,130,102,3150,76,16,2,4,,
206,13,318,150,3940,76,13,1,8,,
207,19,120,88,3270,76,22,2,4,,
208,19,156,108,2930,76,16,3,6,,
209,17,168,120,3820,76,17,2,6,,
210,17,350,180,4380,76,12,1,8,,
211,13,350,145,4055,76,12,1,8,,
212,13,302,130,3870,76,15,1,8,,
213,13,318,150,3755,76,14,1,8,,
214,32,98,68,2045,77,19,3,4,,
215,30,111,80,2155,77,15,1,4,,
216,36,79,58,1825,77,19,2,4,,
217,26,122,96,2300,77,16,1,4,,
218,34,85,70,1945,77,17,3,4,,
219,18,305,145,3880,77,13,1,8,,
220,17,260,110,4060,77,19,1,8,,
221,16,318,145,4140,77,14,1,8,,
222,15,302,130,4295,77,15,1,8,,
223,18,250,110,3520,77,16,1,6,,
224,21,231,105,3425,77,17,1,6,,
225,19,225,100,3630,77,18,1,6,,
226,19,250,98,3525,77,19,1,6,,
227,16,400,180,4220,77,11,1,8,,
228,16,350,170,4165,77,11,1,8,,
229,16,400,190,4325,77,12,1,8,,
230,16,351,149,4335,77,15,1,8,,
231,29,97,78,1940,77,15,2,4,,
232,25,151,88,2740,77,16,1,4,,
233,26,97,75,2265,77,18,3,4,,
234,26,140,89,2755,77,16,1,4,,
235,31,98,63,2051,77,17,1,4,,
236,34,98,83,2075,77,16,1,4,,
237,30,97,67,1985,77,16,3,4,,
238,31,97,78,2190,77,14,2,4,,
239,22,146,97,2815,77,15,3,6,,
240,22,121,110,2600,77,13,2,4,,
241,22,80,110,2720,77,14,3,3,,
242,43,90,48,1985,78,22,2,4,,
243,36,98,66,1800,78,14,1,4,,
244,33,78,52,1985,78,19,3,4,,
245,39,85,70,2070,78,19,3,4,,
246,36,91,60,1800,78,16,3,4,,
247,20,260,110,3365,78,16,1,8,,
248,19,318,140,3735,78,13,1,8,,
249,20,302,139,3570,78,13,1,8,,
250,19,231,105,3535,78,19,1,6,,
251,21,200,95,3155,78,18,1,6,,
252,20,200,85,2965,78,16,1,6,,
253,25,140,88,2720,78,15,1,4,,
254,21,225,100,3430,78,17,1,6,,
255,19,232,90,3210,78,17,1,6,,
256,21,231,105,3380,78,16,1,6,,
257,21,200,85,3070,78,17,1,6,,
258,19,225,110,3620,78,19,1,6,,
259,18,258,120,3410,78,15,1,6,,
260,19,305,145,3425,78,13,1,8,,
261,18,231,165,3445,78,13,1,6,,
262,18,302,139,3205,78,11,1,8,,
263,18,318,140,4080,78,14,1,8,,
264,30,98,68,2155,78,17,1,4,,
265,28,134,95,2560,78,14,3,4,,
266,27,119,97,2300,78,15,3,4,,
267,31,105,75,2230,78,15,1,4,,
268,21,134,95,2515,78,15,3,4,,
269,23,156,105,2745,78,17,1,4,,
270,24,151,85,2855,78,18,1,4,,
271,24,119,97,2405,78,15,3,4,,
272,20,131,103,2830,78,16,2,5,,
273,17,163,125,3140,78,14,2,6,,
274,22,121,115,2795,78,16,2,4,,
275,16,163,133,3410,78,16,2,6,,
276,32,89,71,1990,78,15,2,4,,
277,30,98,68,2135,78,17,3,4,,
278,22,231,115,3245,79,15,1,6,,
279,20,200,85,2990,79,18,1,6,,
280,22,140,88,2890,79,17,1,4,,
281,20,232,90,3265,79,18,1,6,,
282,21,225,110,3360,79,17,1,6,,
283,17,305,130,3840,79,15,1,8,,
284,18,302,129,3725,79,13,1,8,,
285,17,351,138,3955,79,13,1,8,,
286,18,318,135,3830,79,15,1,8,,
287,17,350,155,4360,79,15,1,8,,
288,16,351,142,4054,79,14,1,8,,
289,19,267,125,3605,79,15,1,8,,
290,19,360,150,3940,79,13,1,8,,
291,32,89,71,1925,79,14,2,4,,
292,34,86,65,1975,79,15,3,4,,
293,36,98,80,1915,79,14,1,4,,
294,27,121,80,2670,79,15,1,4,,
295,25,183,77,3530,79,20,2,5,,
296,23,350,125,3900,79,17,1,8,,
297,27,141,71,3190,79,25,2,4,,
298,24,260,90,3420,79,22,1,8,,
299,34,105,70,2200,79,13,1,4,,
300,35,105,70,2150,79,15,1,4,,
301,32,85,65,2020,79,19,3,4,,
302,37,91,69,2130,79,15,2,4,,
303,28,151,90,2670,79,16,1,4,,
304,29,173,115,2595,79,11,1,6,,
305,27,173,115,2700,79,13,1,6,,
306,34,151,90,2556,79,13,1,4,,
307,42,98,76,2144,80,15,2,4,,
308,38,89,60,1968,80,19,3,4,,
309,32,98,70,2120,80,16,1,4,,
310,37,86,65,2019,80,16,3,4,,
311,28,151,90,2678,80,17,1,4,,
312,26,140,88,2870,80,18,1,4,,
313,24,151,90,3003,80,20,1,4,,
314,19,225,90,3381,80,19,1,6,,
315,34,97,78,2188,80,16,2,4,,
316,30,134,90,2711,80,16,3,4,,
317,31,120,75,2542,80,18,3,4,,
318,37,119,92,2434,80,15,3,4,,
319,32,108,75,2265,80,15,3,4,,
320,47,86,65,2110,80,18,3,4,,
321,28,156,105,2800,80,14,1,4,,
322,41,85,65,2110,80,19,3,4,,
323,44,90,48,2085,80,22,2,4,,
324,43,90,48,2335,80,24,2,4,,
325,36,121,67,2950,80,20,2,5,,
326,30,146,67,3250,80,22,2,4,,
327,45,91,67,1850,80,14,3,4,,
328,34,97,67,2145,80,18,3,4,,
329,30,89,62,1845,80,15,2,4,,
330,33,168,132,2910,80,11,3,6,,
331,24,70,100,2420,80,13,3,3,,
332,35,122,88,2500,80,15,2,4,,
333,32,107,72,2290,80,17,3,4,,
334,27,135,84,2490,81,16,1,4,,
335,27,151,84,2635,81,16,1,4,,
336,26,156,92,2620,81,14,1,4,,
337,24,173,110,2725,81,13,1,6,,
338,30,135,84,2385,81,13,1,4,,
339,39,79,58,1755,81,17,3,4,,
340,39,86,64,1875,81,16,1,4,,
341,35,81,60,1760,81,16,3,4,,
342,32,97,67,2065,81,18,3,4,,
343,37,85,65,1975,81,19,3,4,,
344,38,89,62,2050,81,17,3,4,,
345,34,91,68,1985,81,16,3,4,,
346,35,105,63,2215,81,15,1,4,,
347,34,98,65,2045,81,16,1,4,,
348,30,98,65,2380,81,21,1,4,,
349,33,105,74,2190,81,14,2,4,,
350,34,107,75,2210,81,14,3,4,,
351,32,108,75,2350,81,17,3,4,,
352,33,119,100,2615,81,15,3,4,,
353,32,120,74,2635,81,18,3,4,,
354,28,141,80,3230,81,20,2,4,,
355,31,145,76,3160,81,20,2,6,,
356,25,168,116,2900,81,13,3,6,,
357,24,146,120,2930,81,14,3,6,,
358,22,231,110,3415,81,16,1,6,,
359,27,350,105,3725,81,19,1,8,,
360,20,200,88,3060,81,17,1,6,,
361,18,225,85,3465,81,17,1,6,,
362,28,112,88,2605,82,20,1,4,,
363,27,112,88,2640,82,19,1,4,,
364,34,112,88,2395,82,18,1,4,,
365,31,112,85,2575,82,16,1,4,,
366,29,135,84,2525,82,16,1,4,,
367,27,151,90,2735,82,18,1,4,,
368,24,140,92,2865,82,16,1,4,,
369,36,105,74,1980,82,15,2,4,,
370,37,91,68,2025,82,18,3,4,,
371,31,91,68,1970,82,18,3,4,,
372,38,105,63,2125,82,15,1,4,,
373,36,98,70,2125,82,17,1,4,,
374,36,120,88,2160,82,15,3,4,,
375,36,107,75,2205,82,15,3,4,,
376,34,108,70,2245,82,17,3,4,,
377,38,91,67,1965,82,15,3,4,,
378,32,91,67,1965,82,16,3,4,,
379,38,91,67,1995,82,16,3,4,,
380,25,181,110,2945,82,16,1,6,,
381,38,262,85,3015,82,17,1,6,,
382,26,156,92,2585,82,15,1,4,,
383,22,232,112,2835,82,15,1,6,,
384,32,144,96,2665,82,14,3,4,,
385,36,135,84,2370,82,13,1,4,,
386,27,151,90,2950,82,17,1,4,,
387,27,140,86,2790,82,16,1,4,,
388,44,97,52,2130,82,25,2,4,,
389,32,135,84,2295,82,12,1,4,,
390,28,120,79,2625,82,19,1,4,,
391,31,119,82,2720,82,19,1,4,,
